Cheapbuy,,,
,column 1,column 2,column 3
points from grading rubric,Video,2,"commentary was missing, more instructions could have been better"
,Workload,3,
,Number of commits,3,208 commits
,Number of commits: by different people,3,equal number of commits by different people
,Issues reports:,2,
,Issues are being closed,2,
,DOI badge: exists,3,
,"Docs: doco generated, format not ugly",3,
,Docs: what: point descriptions of each class/function (in isolation),2,
,"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",2,
,"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",1,
,"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",1,
,Use of version control tools,3,
,Use of style checkers,1,
,Use of code formatters.,2,
,Use of syntax checkers.,2,
,Use of code coverage,2,
,Other automated analysis tools,2,
,Test cases exist,3,
,Test cases are routinely executed,3,
,The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,
,Issues are discussed before they are closed,2,
,Chat channel: exists,2,
,Test cases: a large proportion of the issues related to handling failing cases.,2,
,Evidence that the whole team is using the same tools: everyone can get to all tools and files,2,
,"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",2,
,"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",2,
,Evidence that the members of the team are working across multiple places in the code base,2,
,Short release cycles,1,
points from software sustainability evaluation,1.1,Y,
,1.2,Y,
,1.3,N,
,2.1,Y,
,2.2,N,
,3.1,Y,
,3.2,Y,
,3.3,Y,
,3.4,Y,
,4.1,Y,
,4.2,Y,
,4.3,Y,
,4.4,Y,
,4.5,N,
,4.6,N,
,4.7,N,
,4.8,N,
,5.1,N,
,5.2,N,
,5.3,N,
,5.4,N,
,5.5,N,
,5.6,N,
,6.1,N,
,6.2,Y,
,7.1,Y,
,7.2,Y,
,8.1,Y,
,9.1,Y,
,9.2,Y,
,10.1,Y,
,10.2,Y,
,10.3,Y,
,10.4,N,
,10.5,NA,
,11.1,Y,
,11.2,N,
,11.3,Y,
,11.4,N,
,11.5,N,
,11.6,Y,
,11.7,Y,
,11.8,Y,
,12.1,N,
,12.2,N,
,12.3,N,
,12.4,Y,
,12.5,Y,
,13.1,N,
,13.2,N,
,13.3,N,
,13.4,Y,
,13.5,N,
,13.6,N,
,13.7,N,
,13.8,N,
,14.1,Y,
,14.2,Y,
,14.3,Y,
,14.4,Y,
,15.1,N,
,15.2,N,
,15.3,Y,
,15.4,Y,
,15.5,NA,
,15.6,N,
,15.7,N,
,16.1,N,
,16.2,N,
,16.3,N,
,,,
,,,
RecipeRecommender-STARGEN,,,
,column 1,column 2,column 3
points from grading rubric,Video,3,"Great video, explains the project workings well"
,Workload,3,
,Number of commits,3,
,Number of commits: by different people,3,All tests have been passed and build works
,Issues reports:,3,
,Issues are being closed,3,
,DOI badge: exists,3,Well formatted doc
,"Docs: doco generated, format not ugly",3,
,Docs: what: point descriptions of each class/function (in isolation),2,
,"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",2,
,"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",3,
,"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,Good animated video
,Use of version control tools,3,
,Use of style checkers,2,
,Use of code formatters.,2,
,Use of syntax checkers.,2,
,Use of code coverage,2,
,Other automated analysis tools,3,
,Test cases exist,3,
,Test cases are routinely executed,3,
,The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,
,Issues are discussed before they are closed,3,
,Chat channel: exists,1,Chat channet does not exist
,Test cases: a large proportion of the issues related to handling failing cases.,2,
,Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,
,"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,
,"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,
,Evidence that the members of the team are working across multiple places in the code base,3,
,Short release cycles,2,
points from software sustainability evaluation,1.1,Y,
,1.2,Y,
,1.3,Y,
,2.1,Y,
,2.2,N,
,3.1,Y,
,3.2,Y,
,3.3,Y,
,3.4,Y,
,4.1,Y,
,4.2,Y,
,4.3,Y,
,4.4,Y,
,4.5,N,Troubleshooting can be added
,4.6,N,
,4.7,NA,
,4.8,Y,
,5.1,N,
,5.2,N,
,5.3,N,
,5.4,N,
,5.5,N,
,5.6,N,
,6.1,Y,
,6.2,Y,
,7.1,Y,
,7.2,Y,
,8.1,Y,
,9.1,Y,
,9.2,Y,
,10.1,Y,
,10.2,Y,
,10.3,Y,
,10.4,Y,
,10.5,NA,
,11.1,Y,
,11.2,N,
,11.3,Y,
